2025-10-13T02:56:59.730Z||2Ado2AVcmr50U6Ob||CONF||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"],"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logVersion":"1.0.2","logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logLight":false}}]
2025-10-13 02:57:00.776|scheduling-1#52|4AlVHNO1hQeJxG5rc1Z4rmVDXLqkNbok|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:05.661|scheduling-1#52|1DDotrSjCchyeq6RTt7Cx7QUZYCzr95Q|1|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-10-13 02:57:05.661|scheduling-1#52|1DDotrSjCchyeq6RTt7Cx7QUZYCzr95Q|2|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-10-13 02:57:06.084|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57140"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-10-13 02:57:06.215|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|2|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-10-13 02:57:06.216|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:57:06.226|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|4|JSON|UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#|[{"user":{"name":"br***ng","id":0,"driverLisenceId":"******","age":1001}}]
2025-10-13 02:57:07.153|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|5|JSON|UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#R|[{"name":"br***ng","id":789,"driverLisenceId":"******","age":1001}]
2025-10-13 02:57:07.153|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|6|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-10-13 02:57:07.153|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|7|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:57:06.817|http-nio-80-exec-1#40|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|4-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:07.098|http-nio-80-exec-1#40|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|4-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#60#|[{"user":{"name":"br***ng","id":0,"driverLisenceId":"******","age":1001}}]
2025-10-13 02:57:07.099|http-nio-80-exec-1#40|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|4-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#60#R|[{"name":"br***ng","id":789,"driverLisenceId":"******","age":1001}]
2025-10-13 02:57:07.573|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57140"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-10-13 02:57:07.582|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|2|JSON|MedicConditionController.java#io.bitryon.example.web.controller.MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}]
2025-10-13 02:57:07.584|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#|[{"userId":1760324227583,"page":null}]
2025-10-13 02:57:07.584|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|4|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#R|["318ef3e4-4d61-4f14-8def-f899e81c44b2"]
2025-10-13 02:57:07.591|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|5|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#48#|[{"condition":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-10-13 02:57:07.592|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|6|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-10-13 02:57:07.592|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|7|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#save#36#R|[{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}]
2025-10-13 02:57:07.593|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|8|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#54|[{"userId":0}]
2025-10-13 02:57:07.601|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|9|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#54R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:07.602|http-nio-80-exec-3#42|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|10|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#48#R|[{"medicConditionDO":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]
2025-10-13 02:57:07.595|http-nio-80-exec-4#43|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|8-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:07.599|http-nio-80-exec-4#43|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|8-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":0}]
2025-10-13 02:57:07.599|http-nio-80-exec-4#43|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|8-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",0]
2025-10-13 02:57:07.600|http-nio-80-exec-4#43|7565mKZJ9xDDnLQJrguCgU10yoELE3ze|8-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:08.414|http-nio-80-exec-5#44|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57140"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:08.418|http-nio-80-exec-5#44|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|2|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#39#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1760324228417"}]
2025-10-13 02:57:08.423|http-nio-80-exec-5#44|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|3|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#39#R|[null]
2025-10-13 02:57:09.189|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57140"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-10-13 02:57:09.205|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|2|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":1760324229205}]
2025-10-13 02:57:09.205|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:57:09.206|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|4|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-10-13 02:57:09.206|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|5|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#29|[{"sessionId":"xxx"}]
2025-10-13 02:57:09.213|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|6|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#29R|[{"name":"ra***ly","id":456,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.213|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|7|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-10-13 02:57:09.213|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|8|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#R|[[{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}]]
2025-10-13 02:57:09.213|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|9|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|10|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|11|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|12|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|13|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|14|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#R|["1760324229214"]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|15|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#R|["1760324229214"]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|16|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#R|["1760324229214"]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|17|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#R|["1760324229214"]
2025-10-13 02:57:09.214|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|18|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#R|["1760324229214"]
2025-10-13 02:57:09.215|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|19|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":123}]
2025-10-13 02:57:09.220|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|20|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.220|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|21|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":456}]
2025-10-13 02:57:09.224|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|22|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.224|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|23|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":789}]
2025-10-13 02:57:09.228|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|24|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
