2025-10-22T23:53:22.961Z||Ryoi9pE5D1lcyhJA||C|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"httpHeaderIdType":1,"applicationName":"bitryon-logging-integration-java-spring-example","hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"logLight":true,"logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-10-22 23:53:24.091|52|5VLaiGHLZHRekogtLKtyYKpE8cABHOew|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:28.047|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:27.262|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60331"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-10-22 23:53:27.401|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|2|J||#ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-10-22 23:53:27.401|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|3|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-22 23:53:27.411|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4|J||#UserService#save#0#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","birthday":null,"age":1001}}]
2025-10-22 23:53:27.909|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60332"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|2|J||#MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|3|J||#ForStaticMethod#query#11#|[{"userId":1761177207911,"page":null}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|4|J||#ForStaticMethod#query#11#R|["4ca4eec7-1e6e-4e6b-b1f7-dbdd28d74cf5"]
2025-10-22 23:53:27.916|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|5|J||#MedicService#save#48#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|6|J||#MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|7|J||#MedicDAO#save#36#R|[{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8|J||#MedicService#save#54|[{"userId":0}]
2025-10-22 23:53:28.047|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60337"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:28.216|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-2|J||#UserServiceImpl#getById#24#|[{"userId":0}]
2025-10-22 23:53:28.217|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 0
2025-10-22 23:53:28.217|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|5|J||#UserService#save#0#R|[{"name":"broking","id":789,"driverLisenceId":"123456","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":1001}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|6|J||#ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|7|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-22 23:53:28.361|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|9|J||#MedicService#save#54R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:28.361|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|10|J||#MedicService#save#48#R|[{"medicConditionDO":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]
2025-10-22 23:53:28.356|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-2|J||#UserServiceImpl#save#60#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","birthday":null,"age":1001}}]
2025-10-22 23:53:28.357|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-3|J||#UserServiceImpl#save#60#R|[{"name":"broking","id":789,"driverLisenceId":"123456","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":1001}]
2025-10-22 23:53:28.952|52|5F6dp0zUMnBoEkH3dAe2RPg02I3F7ZcV|1|J||#SMTPEmailScheduler#runMailRunnable#25#|[null]
2025-10-22 23:53:28.953|52|5F6dp0zUMnBoEkH3dAe2RPg02I3F7ZcV|2|J||#SMTPEmailScheduler#runMailRunnable#25#R|[null]
2025-10-22 23:53:28.942|44|3of9vHoIIbIZliZnfAIHcPiX4S630E72|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60332"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:28.947|44|3of9vHoIIbIZliZnfAIHcPiX4S630E72|2|J||#SMTPEmailScheduler#unHookedThreadDelivery#41#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1761177208945"}]
2025-10-22 23:53:28.961|44|3of9vHoIIbIZliZnfAIHcPiX4S630E72|3|J||#SMTPEmailScheduler#unHookedThreadDelivery#41#R|[null]
2025-10-22 23:53:30.035|49|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|23-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:30.036|49|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|23-2|J||#UserServiceImpl#getById#24#|[{"userId":789}]
2025-10-22 23:53:30.036|49|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|23-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 789
2025-10-22 23:53:30.036|49|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|23-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:29.999|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60332"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-10-22 23:53:30.012|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|2|J||#ForStaticMethod#runStatic#15#|[{"userId":1761177210012}]
2025-10-22 23:53:30.012|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|3|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-22 23:53:30.012|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|4|J||#MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-10-22 23:53:30.013|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|5|J||#MedicService#query#29|[{"sessionId":"xxx"}]
2025-10-22 23:53:30.019|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|6|J||#MedicService#query#29R|[{"name":"ra***ly","id":456,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:30.019|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|7|J||#MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-10-22 23:53:30.019|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|8|J||#MedicDAO#query#17#R|[[{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123},{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456},{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789}]]
2025-10-22 23:53:30.019|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|9|J||#MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-10-22 23:53:30.019|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|10|J||#MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|11|J||#MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|12|J||#MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|13|J||#MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|14|J||#MedicService#callSelfInvocation_final#88#R|["1761177210020"]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|15|J||#MedicService#callSelfInvocation_private#83#R|["1761177210020"]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|16|J||#MedicService#callSelfInvocation_friendly#78#R|["1761177210020"]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|17|J||#MedicService#callSelfInvocation_protected#73#R|["1761177210020"]
2025-10-22 23:53:30.020|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|18|J||#MedicService#callSelfInvocation#68#R|["1761177210020"]
2025-10-22 23:53:30.021|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|19|J||#MedicService#lambda$0#38|[{"userId":123}]
2025-10-22 23:53:30.028|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|20|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:30.029|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|21|J||#MedicService#lambda$0#38|[{"userId":456}]
2025-10-22 23:53:30.033|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|22|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:30.033|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|23|J||#MedicService#lambda$0#38|[{"userId":789}]
2025-10-22 23:53:30.037|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|24|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:30.037|45|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|25|J||#MedicService#query#28#R|[[{"medicConditionDO":{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]]
2025-10-22 23:53:30.024|47|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|19-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:30.026|47|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|19-2|J||#UserServiceImpl#getById#24#|[{"userId":123}]
2025-10-22 23:53:30.027|47|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|19-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 123
2025-10-22 23:53:30.027|47|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|19-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:30.015|46|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|5-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:30.017|46|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|5-2|J||#UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-10-22 23:53:30.017|46|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|5-3|J||#UserServiceImpl#getBySessionId#43#R|[{"name":"randome guy probably","id":456,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:30.030|48|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|21-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:30.032|48|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|21-2|J||#UserServiceImpl#getById#24#|[{"userId":456}]
2025-10-22 23:53:30.032|48|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|21-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 456
2025-10-22 23:53:30.032|48|2AIR3TPmtccDwRvZbqCGyOcjUXz1hexT|21-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:33.956|52|3of9vHoIIbIZliZnfAIHcPiX4S630E72|2-1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1761177208945'>link</a> or copy http://localhost/unHookedThreadDelivery/1761177208945 to your brower before it expires in 10 minutes.</body></html>
